tweet_id,retweet_count,favorite_count
871166179821445120,5202,0
871102520638267392,5013,19579
871032628920680449,3475,21290
870804317367881728,5646,31519
870726314365509632,3,114
870656317836468226,2400,11561
870374049280663552,24232,77862
870308999962521604,3789,20530
870063196459192321,7588,34243
869772420881756160,9277,39983
869702957897576449,5763,26489
869596645499047938,2854,14980
869227993411051520,3450,19171
868880397819494401,13211,61417
868639477480148993,1900,0
868622495443632128,4848,25052
868552278524837888,1900,9470
867900495410671616,3838,22790
867774946302451713,6740,31962
867421006826221569,2291,15140
867072653475098625,110,0
867051520902168576,7257,30354
866720684873056260,4417,18852
866686824827068416,3206,18140
866450705531457537,32473,115250
866334964761202691,13140,49347
866094527597207552,7722,0
865718153858494464,5190,24223
865359393868664832,4625,24969
865006731092295680,7122,26463
864873206498414592,8024,30469
864279568663928832,2792,13775
864197398364647424,8181,28301
863907417377173506,3833,19480
863553081350529029,3881,14433
863471782782697472,2250,0
863432100342583297,4861,22509
863427515083354112,89,2086
863079547188785154,1030,8310
863062471531167744,2250,7991
862831371563274240,4781,18170
862722525377298433,3288,16206
862457590147678208,4580,19340
862096992088072192,21533,70322
861383897657036800,9964,34201
861288531465048066,3847,16284
861005113778896900,3555,15842
860981674716409858,2001,0
860924035999428608,740,0
860563773140209665,2001,7112
860524505164394496,4954,22471
860276583193509888,3278,17467
860184849394610176,5458,15832
860177593139703809,28894,0
859924526012018688,3840,18647
859851578198683649,3288,14695
859607811541651456,1462,17749
859196978902773760,28243,85578
859074603037188101,12776,32200
858860390427611136,7614,0
858843525470990336,3260,14875
858471635011153920,4568,20534
858107933456039936,2719,15046
857989990357356544,2440,15363
857746408056729600,10011,32738
857393404942143489,1548,5625
857263160327368704,4264,19196
857214891891077121,17,214
857062103051644929,158,0
857029823797047296,3752,18046
856543823941562368,2723,15654
856526610513747968,1779,11380
856330835276025856,633,0
856288084350160898,15,493
856282028240666624,5956,26622
855862651834028034,24,323
855860136149123072,930,4710
855857698524602368,1996,11408
855851453814013952,17151,44035
855818117272018944,5156,25642
855459453768019968,7823,28646
855245323840757760,5661,0
855138241867124737,43,0
854732716440526848,5771,21919
854482394044301312,6522,28197
854365224396361728,4475,18224
854120357044912130,7120,30877
854010172552949760,3010,15690
853760880890318849,5492,27629
853639147608842240,9585,33489
853299958564483072,3412,14989
852936405516943360,1908,0
852912242202992640,1735,8735
852672615818899456,2070,14452
852553447878664193,3332,15799
852311364735569921,9538,32149
852226086759018497,6579,19421
852189679701164033,1531,11133
851861385021730816,19,0
851591660324737024,3332,15813
851464819735769094,6802,23597
851224888060895234,5535,20133
850753642995093505,8774,29952
850380195714523136,2513,12762
850333567704068097,315,3374
850145622816686080,3666,15916
850019790995546112,4704,19896
849776966551130114,7321,29640
849668094696017920,4783,0
849412302885593088,3053,15495
849336543269576704,1839,11149
849051919805034497,8202,41333
848690551926992896,4186,24607
848324959059550208,4483,24141
848213670039564288,703,7993
848212111729840128,2936,15965
847978865427394560,3158,0
847971574464610304,420,0
847962785489326080,4915,23023
847842811428974592,1284,5323
847617282490613760,402,6838
847606175596138505,3332,18394
847251039262605312,4201,20085
847157206088847362,5704,19497
847116187444137987,3094,21045
846874817362120707,3817,19692
846514051647705089,11206,43700
846505985330044928,2983,13831
846153765933735936,8784,30973
846139713627017216,9772,30466
846042936437604353,2784,15674
845812042753855489,8447,28659
845677943972139009,4679,24742
845397057150107648,1749,7488
845306882940190720,5252,22923
845098359547420673,7462,0
844979544864018432,2483,13405
844973813909606400,3098,14808
844580511645339650,3040,16203
844223788422217728,2142,13449
843981021012017153,2884,14949
843856843873095681,4514,21115
843604394117681152,2680,16617
843235543001513987,5884,21184
842846295480000512,3554,15061
842765311967449089,1247,6630
842535590457499648,3434,17849
842163532590374912,5661,24078
842115215311396866,2967,13791
841833993020538882,14725,0
841680585030541313,7654,25394
841439858740625411,3601,12473
841320156043304961,5396,19547
841314665196081154,4547,15652
841077006473256960,5201,22555
840761248237133825,1732,0
840728873075638272,15777,0
840698636975636481,2,173
840696689258311684,953,12145
840632337062862849,1732,8881
840370681858686976,4470,16243
840268004936019968,5616,19034
839990271299457024,2235,13264
839549326359670784,7614,27156
839290600511926273,140,0
839239871831150596,6420,26814
838952994649550848,3925,19447
838921590096166913,2018,11016
838916489579200512,34,0
838831947270979586,10819,0
838561493054533637,1315,10842
838476387338051585,4692,22250
838201503651401729,9870,0
838150277551247360,325,1658
838085839343206401,1,139
838083903487373313,3077,17432
837820167694528512,7722,33720
837482249356513284,437,3822
837471256429613056,2237,12655
837110210464448512,2333,15904
836989968035819520,2269,12635
836753516572119041,4580,19165
836677758902222849,2198,12508
836648853927522308,549,0
836397794269200385,27113,0
836380477523124226,2948,14645
836260088725786625,4250,21144
836001077879255040,4196,18928
